koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_model_snr
CONFIRMED,2.586639524,0.349,2.253,2.18E+02,1.44,77.3
FALSE POSITIVE,2.671942657,0.982,1.9119,1.59E+04,22.36,97.5
CONFIRMED,28.51117639,0.77,4.5941,1.84E+03,3.27,145.5
CONFIRMED,14.38682567,0.021,2.1417,5.70E+02,2.54,61.7
CANDIDATE,8.85686712,0.923,0.606,3.19E+02,1.88,11.9
CANDIDATE,12.99065074,0.068,2.3748,3.92E+02,2.02,42.5
CONFIRMED,331.5972732,0.02,14.404,8.32E+03,10.89,355
CONFIRMED,11.20058855,0.956,4.562,2.20E+02,1.7,19.2
FALSE POSITIVE,1.50179931,0.256,3.275,1.00E+02,0.72,19.1
CONFIRMED,17.83367834,0.013,4.5112,3.27E+02,2.43,154.5
CONFIRMED,19.55662003,0.606,8.087,2.99E+02,2.45,111
CANDIDATE,82.6595174,0.579,3.48,1.27E+03,2.03,17.1
CONFIRMED,2.03387483,0.238,3.097,7.36E+01,1.6,15.7
FALSE POSITIVE,5.07538255,0.919,1.7,1.63E+02,1.74,16
CONFIRMED,23.9553986,0.669,3.204,2.29E+02,2.84,13.9
CANDIDATE,24.3367026,0.577,2.539,5.51E+02,1.95,13.4
CANDIDATE,7.40985182,0.234,1.131,2.01E+02,1.18,13.5
FALSE POSITIVE,1.02425556,1.312,2.6439,1.63E+03,29.83,40.6
FALSE POSITIVE,4.63958598,0.014,2.768,8.34E+01,1.52,28.1
CANDIDATE,15.5943758,0.5,7.367,9.54E+01,1.08,11.9
CONFIRMED,34.4359387,0.017,5.82,4.25E+02,2.78,52.6
CONFIRMED,5.317440164,0.72,2.9331,2.93E+02,1.94,80.9
CONFIRMED,10.10575764,0.828,2.0138,1.17E+02,1.28,19.9
CONFIRMED,28.86236571,0.778,5.4033,4.49E+02,2.53,64.4
CONFIRMED,210.6013843,0.002,11.9922,4.16E+03,7.7,232.4
CANDIDATE,75.731195,0.9,4.859,2.50E+03,3.47,16.3
CONFIRMED,59.7371443,0.005,8.0006,5.66E+02,2.84,43.5
FALSE POSITIVE,3.388887193,0.387,2.4475,1.13E+04,10.72,162.9
CONFIRMED,27.08239734,0.915,5.0119,4.23E+02,3.25,40.9
CANDIDATE,152.1060435,0.878,7.4517,3.69E+03,11.58,116.3
CANDIDATE,30.6528935,0.682,4.99,2.70E+02,2.86,17.4
FALSE POSITIVE,0.512869432,1.263,4.015,2.31E+03,31.12,133.9
CONFIRMED,5.19492747,0.093,3.167,2.73E+02,2.03,16.5
CONFIRMED,15.9314412,0.604,2.435,5.57E+02,1.77,14.8
FALSE POSITIVE,1.33251589,0.53,4.216,1.41E+02,1.3,22.2
CONFIRMED,28.227413,0.025,5.782,1.11E+03,2.82,25.3
FALSE POSITIVE,0.545544979,0.604,1.954,9.26E+01,0.93,24.8
FALSE POSITIVE,419.9750784,0.68,12.1687,2.75E+02,1.53,5.9
CANDIDATE,4.76559056,0.14,2.2,6.75E+01,0.92,15.2
CANDIDATE,2.98618134,0.249,2.969,1.23E+02,1.16,12
FALSE POSITIVE,25.9200092,0.054,5.609,3.31E+02,1.28,10.9
CONFIRMED,6.17817366,0.775,3.2601,1.02E+02,1.22,43.5
FALSE POSITIVE,2.04516705,0.74,3.625,1.55E+02,2.9,16.5
CANDIDATE,7.25101997,0.314,2.799,1.23E+02,0.91,12.2
CONFIRMED,5.65178922,0.906,3.0933,1.34E+02,2.03,39.5
CONFIRMED,19.96367208,0.846,2.6403,2.71E+02,1.5,36.3
CANDIDATE,57.3840375,0.954,4.336,2.42E+02,1.62,22.9
CONFIRMED,1.541676547,0.362,1.9118,2.97E+02,1.88,94.1
FALSE POSITIVE,6.397185875,0.755,5.8638,1.89E+04,15.02,394.7
FALSE POSITIVE,2.976020742,0.721,3.73,1.15E+02,2.07,60.6
CONFIRMED,15.95995611,0.526,4.3149,5.23E+02,2.27,70.9
CANDIDATE,7.37867551,0.513,3.349,1.25E+02,1.11,22.3
CONFIRMED,4.903321801,0.016,2.8887,3.35E+02,2.37,84.5
CONFIRMED,1.82708193,0.033,1.96401,1.16E+03,5.95,273.7
FALSE POSITIVE,22.84524104,0.617,5.3007,4.57E+04,30.35,3845.4
CANDIDATE,2.5738437,0.044,1.92,4.66E+01,0.57,10.9
FALSE POSITIVE,18.3980827,0.587,4.438,1.45E+02,1.26,17.2
CONFIRMED,11.62904159,0.925,2.97,8.80E+01,1.31,13.7
FALSE POSITIVE,13.6550963,0.235,4.117,1.96E+02,1.35,14.6
CONFIRMED,27.50871575,0.577,5.9291,6.39E+02,2.98,190.3
CONFIRMED,20.0708757,0.643,6.354,4.06E+02,3.2,12.8
CANDIDATE,98.353149,0.906,24.708,4.23E+02,4.13,30.5
CANDIDATE,10.18318233,0.449,3.137,5.15E+01,0.79,11.2
CANDIDATE,6.2321233,0.32,2.85,3.17E+01,0.61,8.5
CANDIDATE,8.2942929,0.006,3.976,3.68E+01,0.65,10.1
FALSE POSITIVE,1.540411479,0.781,1.703,1.07E+02,0.92,12.1
FALSE POSITIVE,3.74785358,0.468,3.713,9.82E+01,0.89,18.8
CONFIRMED,25.75274977,0.516,2.7678,7.39E+02,2.27,36.7
CANDIDATE,10.16102353,0.716,3.1627,1.65E+03,4.62,111.1
CANDIDATE,12.82993461,0.594,2.942,1.42E+03,3.31,79.6
CONFIRMED,49.41121127,0.885,5.278,3.18E+03,6.77,125.4
CONFIRMED,36.8567758,0.05,7.495,7.14E+02,2.68,43.8
FALSE POSITIVE,35.080928,0.712,6.92,1.01E+02,1.21,7.6
CONFIRMED,10.39986173,0.757,3.377,2.75E+02,1.5,22.8
FALSE POSITIVE,0.828206212,0.615,1.737,1.32E+02,3.88,68.1
CONFIRMED,24.31574009,0.653,4.1344,6.43E+02,2.8,42.5
FALSE POSITIVE,199.443024,0.932,7.409,4.04E+03,9.3,55.1
CANDIDATE,39.6766071,0.639,5.04,6.11E+02,2.29,24.9
FALSE POSITIVE,358.66044,0.062,16.732,1.34E+02,1.62,15.6
CONFIRMED,4.454194254,0.479,2.3061,1.60E+04,11.76,1022.2
CANDIDATE,809.0141881,0.717,8.3017,1.63E+04,14.38,212.9
CONFIRMED,21.0871953,0.065,5.92691,8.89E+03,14.43,556.2
FALSE POSITIVE,1.575631524,1.065,2.59202,2.56E+04,28.66,465.4
CONFIRMED,6.09855603,0.21,2.9815,8.44E+01,0.84,24.8
FALSE POSITIVE,203.250506,0.336,9.81,2.39E+02,1.35,7
CONFIRMED,16.54295261,0.329,3.8516,7.26E+02,2.31,36.1
CONFIRMED,11.0234748,0.724,1.4814,1.80E+03,2.46,77.2
CONFIRMED,34.18884323,0.065,5.3278,1.06E+03,2.97,83.9
CONFIRMED,4.30165843,0.547,2.1055,7.39E+02,2.42,88.3
CONFIRMED,7.650243513,0.014,2.752,9.81E+02,2.3,98.8
CANDIDATE,2.47240869,0.319,1.87,4.75E+01,0.36,9
CANDIDATE,4.592393816,0.02,2.2748,1.03E+03,2.51,105.9
CANDIDATE,11.53029332,0.027,1.8385,1.21E+03,3.98,57.6
CONFIRMED,5.859935955,0.049,4.0185,3.23E+02,2.56,186.7
CONFIRMED,2.104721971,0.001,1.7547,9.06E+02,2.89,153.3
FALSE POSITIVE,10.63624422,0.978,5.055,2.32E+02,1.58,24.7
CANDIDATE,7.9069765,0.038,4.634,1.26E+02,1.13,8.3
CONFIRMED,6.412512953,0.553,5.2677,1.16E+03,3.89,183.1
CONFIRMED,2.019997006,0.502,1.8073,3.33E+02,1.46,52.1
CONFIRMED,3.763041531,0.76,1.6011,3.55E+02,1.63,37.9
CONFIRMED,6.521209629,0.514,2.7975,7.60E+02,2.54,69.8
CONFIRMED,6.996926239,0.022,2.7374,1.32E+03,3.21,101.6
CANDIDATE,13.9509565,0.467,5.231,3.57E+01,0.75,11.2
FALSE POSITIVE,5.428344915,0.911,1.8931,1.38E+04,14.88,140.2
CANDIDATE,16.30141333,0.786,3.5764,9.42E+02,3.84,62.4
CANDIDATE,24.61480613,0.435,2.6602,1.80E+03,4.2,68.4
CONFIRMED,42.949522,0.013,5.4154,9.59E+02,2.98,40.7
CONFIRMED,117.033521,0.188,6.822,7.70E+02,2.68,21.9
FALSE POSITIVE,386.39833,0.287,8.519,7.48E+02,2.2,4.9
CONFIRMED,1.55400389,0.016,1.7664,4.66E+02,1.59,82.1
CONFIRMED,34.25951418,0.008,4.7743,1.07E+03,2.41,66.1
FALSE POSITIVE,23.8761144,0.014,9.3113,1.61E+03,10.45,225.5
FALSE POSITIVE,4.99270186,1.232,3.1008,5.57E+02,26.6,42.3
CONFIRMED,4.79860021,0.594,3.0384,8.17E+02,2.51,88.1
FALSE POSITIVE,7.7333361,0.084,2.807,1.27E+02,0.57,9.3
CONFIRMED,9.57665962,0.043,3.3603,7.47E+02,2.88,82.6
CONFIRMED,96.6781852,0.336,5.6957,9.51E+02,3.29,44.7
CONFIRMED,20.55280311,0.568,2.2013,7.27E+02,2.99,42.4
FALSE POSITIVE,2.023123903,0.026,1.1829,1.29E+03,2.87,76
CONFIRMED,10.94026745,0.595,2.3494,5.39E+02,2.08,30.6
CONFIRMED,19.5352551,0.702,1.013,1.73E+03,0.53,5.9
CANDIDATE,3.687469832,0.919,1.0668,5.06E+03,5.78,363.9
CONFIRMED,151.863949,0.016,8.577,7.47E+02,2.41,22.5
CONFIRMED,5.945043548,0.763,2.7004,8.00E+02,2.69,67.6
CANDIDATE,65.7045275,0.663,3.3104,6.36E+02,2.78,70.4
CONFIRMED,17.73842886,0.845,3.0049,6.06E+02,2.47,29.8
CANDIDATE,84.799829,0.795,15.21,5.61E+01,1.16,14.4
CONFIRMED,9.93962361,0.934,3.432,3.00E+02,1.93,21.5
CONFIRMED,6.8731664,0.055,6.8569,3.75E+03,13.44,535.5
CONFIRMED,8.600099313,0.048,4.0077,2.79E+03,4.17,209.2
CONFIRMED,12.37646897,0.468,2.7075,1.71E+03,2.53,81.2
CANDIDATE,9.340538,0.074,2.57,2.01E+02,0.84,11.1
CANDIDATE,330.071558,0.681,4.295,6.17E+02,2.94,10.6
CONFIRMED,18.87022157,0.013,3.1404,1.10E+03,2.82,72.7
CONFIRMED,19.5776073,0.049,3.382,9.81E+01,0.9,17.2
CONFIRMED,17.20522898,0.012,3.6688,1.08E+03,2.22,75.7
FALSE POSITIVE,17.90766147,0.978,5.396,1.09E+03,4.89,78.4
CONFIRMED,22.18332255,0.024,5.1364,7.48E+02,2.78,70.3
FALSE POSITIVE,354.78194,1.17,6.46,1.93E+02,30.53,7.7
CONFIRMED,7.65880048,0.017,3.0427,6.68E+02,2.19,57.6
CONFIRMED,9.3789167,0.671,3.3427,5.64E+02,2.03,42.6
CONFIRMED,4.221626193,0.847,3.0619,6.58E+02,2.87,83.7
CONFIRMED,16.54967098,0.88,4.3808,7.45E+02,2.95,46.8
CONFIRMED,2.154911236,0.113,3.1341,9.97E+01,1.42,83
CANDIDATE,11.505879,0.029,5.583,4.98E+01,0.99,12.5
CANDIDATE,3.52467888,0.976,2.484,1.30E+02,1.46,12.3
CONFIRMED,6.400157105,0.898,2.0004,7.43E+02,2.52,49.1
CONFIRMED,2.437029217,0.014,3.2005,2.44E+02,2.04,49
CONFIRMED,9.9267215,0.625,3.8428,7.26E+02,2.76,97.3
CONFIRMED,21.22349325,0.794,4.9416,5.83E+02,2.63,60.2
CONFIRMED,6.47027706,0.732,3.343,1.17E+02,1.15,18.3
CONFIRMED,3.722158895,0.644,1.9941,7.57E+02,2.33,70.3
CONFIRMED,46.9026431,0.645,3.9264,8.21E+02,2.6,40.6
CONFIRMED,5.263415218,0.853,2.1446,1.03E+03,3.77,117
CONFIRMED,4.030466786,0.033,2.7734,2.91E+03,4.48,227.4
FALSE POSITIVE,9.27989,0.579,3.33,1.64E+02,1.29,8.6
CONFIRMED,328.240201,0.75,12.2726,1.39E+04,10.99,287.6
FALSE POSITIVE,22.26480657,0.75,8.7941,1.94E+04,12.34,873.4
FALSE POSITIVE,2.217038096,0.754,1.8575,5.44E+02,3.23,49.5
FALSE POSITIVE,8.874603,0.1897,2.88,9.33E+01,1.24,5.4
CONFIRMED,4.393157678,0.102,2.4455,4.47E+02,1.41,63
FALSE POSITIVE,251.7512,0.943,4.314,1.14E+02,1.25,7.5
CONFIRMED,16.14567193,0.75,3.7236,9.41E+02,2.48,242.7
CONFIRMED,1071.232624,0.216,16.1784,1.90E+04,9.27,544.2
CONFIRMED,2.735900074,0.189,1.9359,4.29E+02,1.56,44.5
CONFIRMED,5.852968845,0.316,4.5973,1.15E+03,3.46,152.4
CONFIRMED,81.1701587,0.875,8.358,1.18E+03,4.71,51
FALSE POSITIVE,371.17573,0.781,8.2,1.34E+02,4.07,12.1
CONFIRMED,2.820190603,0.614,2.554,4.68E+02,2.53,64.2
CONFIRMED,21.21712312,0.89,5.89,6.36E+02,2.97,56.2
FALSE POSITIVE,200,,7.27,,,
CONFIRMED,15.77980122,0.025,4.0369,5.41E+02,2.11,39.4
CONFIRMED,14.03490255,0.66,3.638,8.52E+02,2.41,60.9
CONFIRMED,10.35586478,0.178,2.8431,6.61E+02,1.92,49.5
CONFIRMED,22.34296483,0.031,6.66405,5.61E+03,9.99,1118.9
CONFIRMED,11.38840217,0.243,3.6949,4.38E+02,3.04,34.7
CONFIRMED,20.5498184,0.649,5.5484,1.56E+03,4.04,123.1
CANDIDATE,934.0941846,0.4948,17.489,8.71E+03,7.89,135.5
CANDIDATE,199.8392053,0.811,4.378,4.45E+04,21.48,590.6
FALSE POSITIVE,17.4217322,0.415,4.718,2.08E+02,1.42,9.3
CANDIDATE,15.84132627,0.891,1.8215,3.11E+04,16.84,135.8
CONFIRMED,5.931196562,0.886,2.4999,1.01E+03,2.01,90.5
CONFIRMED,0.837491225,0.022,1.796,1.90E+02,1.43,189.5
CONFIRMED,7.40611676,0.077,2.8826,4.18E+02,1.37,49.6
CONFIRMED,21.803708,0.568,3.369,2.46E+02,1.11,18.5
FALSE POSITIVE,4.66229074,1.197,3.73,3.45E+02,24.12,29.8
CONFIRMED,29.9111886,0.041,6.6436,9.42E+02,2.9,50.8
FALSE POSITIVE,2.908453928,1.195,2.5363,4.28E+02,19.44,40.4
CONFIRMED,25.69581456,0.68,4.0251,1.13E+03,1.7,45.1
FALSE POSITIVE,25.70280003,1.27,3.1644,5.62E+03,33.1,67.9
CONFIRMED,13.64617478,0.115,3.4098,6.33E+02,2.06,43.4
CONFIRMED,3.213668926,0.021,3.98235,7.28E+02,4.13,346.9
CONFIRMED,8.13121389,0.622,4.2386,1.12E+02,1.58,55.3
CONFIRMED,41.8854433,0.917,6.763,6.87E+02,3.28,47
CONFIRMED,13.81733587,0.967,4.261,2.23E+02,2.04,20.4
CONFIRMED,52.8148051,0.002,7.309,5.54E+02,3.33,27.4
CONFIRMED,8.30783912,0.019,3.1516,7.78E+02,2.15,66.4
CONFIRMED,34.0963441,0.386,3.896,4.73E+02,1.71,21.5
CANDIDATE,6.45442931,0.749,2.6772,5.86E+02,2.48,45.3
CONFIRMED,3.595769013,0.496,3.1569,3.84E+02,2.39,45.9
CONFIRMED,52.6615266,0.682,3.1592,1.08E+03,1.87,38.4
CONFIRMED,1.902208647,0.116,2.19877,2.34E+03,4.45,363.2
CANDIDATE,20.605501,0.705,3.793,3.71E+01,0.85,11.1
CONFIRMED,15.90688891,0.014,3.9879,9.25E+02,2.35,75
CONFIRMED,4.973455252,0.817,1.6519,7.42E+02,2.46,65.4
FALSE POSITIVE,30.5528972,1.216,5.269,8.65E+02,30.74,35.6
FALSE POSITIVE,4.804469031,0.979,3.4587,7.44E+02,3.35,67.3
CONFIRMED,1.616883373,0.856,1.6325,4.37E+02,4.47,43.9
CANDIDATE,9.5539134,0.142,5.261,2.68E+01,0.68,13.1
CONFIRMED,13.19322809,0.005,5.0036,5.86E+02,2.94,50.9
CONFIRMED,10.31174786,0.747,3.1818,2.76E+02,1.34,81.7
CONFIRMED,4.42535097,0.177,3.504,1.79E+02,1.63,22.1
CONFIRMED,4.302139338,0.652,2.0289,7.47E+02,2.46,65.5
CONFIRMED,3.137845914,0.454,1.91,3.06E+02,1.5,30.8
CANDIDATE,6.77067637,0.127,5.982,6.58E+01,1.9,19.6
FALSE POSITIVE,3.74782314,1.202,5.133,4.23E+02,25.59,53.8
FALSE POSITIVE,1.09173174,0.334,1.9719,1.87E+02,1.07,32.2
CONFIRMED,20.68420772,0.488,6.4415,8.59E+02,3.28,59.6
CONFIRMED,50.6985408,0.137,5.972,6.11E+02,3.58,30.1
FALSE POSITIVE,2.9926465,0.319,1.81,1.06E+02,0.89,16.1
CANDIDATE,0.589376952,0.491,1.71,8.07E+01,0.93,11.4
CANDIDATE,39.7529915,0.046,4.9641,5.49E+02,2.37,40.9
CONFIRMED,9.99760285,0.851,3.4423,6.39E+02,2.82,39
CONFIRMED,90.4117992,0.849,7.106,1.27E+03,3.96,35.4
CONFIRMED,13.54057461,0.18,4.4673,4.61E+02,2.17,53.3
CONFIRMED,1.732346403,0.184,2.2139,1.82E+02,1.37,41.2
CANDIDATE,1.74610057,0.032,1.299,5.42E+01,1.24,9.2
CONFIRMED,7.0257409,0.812,2.245,1.91E+02,1.56,21.2
CONFIRMED,16.21774917,0.336,4.9274,7.58E+02,2.22,80.3
CONFIRMED,11.72291212,0.012,4.2064,4.92E+02,2.08,58.8
FALSE POSITIVE,8.661374,0.6469,2.972,1.60E+02,1.32,4.7
CONFIRMED,9.66857386,0.8,2.4656,4.12E+02,1.9,36.9
CONFIRMED,7.053527145,0.172,2.3982,1.48E+03,2.16,92.3
CONFIRMED,9.521644639,0.023,2.3569,1.49E+03,2.16,79.2
CONFIRMED,3.072146607,0.032,1.8732,5.39E+02,1.3,44.9
CONFIRMED,4.645382149,0.154,2.0271,5.66E+02,1.33,40.4
CONFIRMED,9.82578495,0.888,5.2498,4.33E+02,2.66,38.1
CONFIRMED,25.30291816,0.04,4.4903,2.11E+03,3.95,117.7
CONFIRMED,21.30020491,0.075,4.0852,6.60E+02,2.99,58.1
CONFIRMED,289.864067,0.856,7.565,5.29E+02,2.34,57.4
FALSE POSITIVE,10.29767658,1.194,6.649,6.56E+02,39.14,57
CANDIDATE,51.0674355,0.482,4.374,5.98E+02,2.44,18.7
FALSE POSITIVE,199.9976349,,3.43,,,
CONFIRMED,1.682695938,0.025,1.3867,7.04E+02,1.23,75.4
CONFIRMED,17.30795548,0,5.1126,6.33E+02,3.56,46.4
CONFIRMED,10.42367744,0.005,5.2257,7.77E+02,3.72,204.4
CONFIRMED,2.09227115,0.271,2.4062,2.08E+02,2.06,30
CONFIRMED,45.29422297,0.025,6.83,4.77E+02,2.26,134.8
FALSE POSITIVE,260.2071733,,6.59,,,
CONFIRMED,16.70920628,0.855,2.7052,8.40E+02,2.27,40.4
CONFIRMED,28.55158187,0.623,4.1502,8.08E+02,1.97,36
FALSE POSITIVE,4.045057186,1.292,2.9954,7.53E+02,30.33,62.2
CONFIRMED,10.13958818,0.078,2.6446,1.16E+03,1.68,40.3
CONFIRMED,43.5859419,0.011,4.6814,1.71E+03,2.05,38.9
CONFIRMED,0.986785834,0.026,1.1879,4.50E+02,1.19,51.5
CANDIDATE,24.7962801,0.01,8.33,5.74E+02,2.7,43.6
FALSE POSITIVE,5.91037674,0.123,3.421,2.57E+02,1.38,34.5
CONFIRMED,27.4536146,0.765,3.747,1.36E+02,0.95,27.5
CONFIRMED,8.22241355,0.246,2.71,1.47E+03,2.28,67
FALSE POSITIVE,0.635587392,1.151,4.7,1.48E+02,28.58,40.9
CONFIRMED,13.02363236,0.032,3.9734,6.07E+02,2.3,50.5
CONFIRMED,11.6370303,0.066,3.3372,6.04E+02,2.9,36.4
CANDIDATE,6.93650854,0.331,3.674,8.87E+01,1.51,11.3
CONFIRMED,5.68798675,0.663,2.2682,4.76E+02,2.76,33
FALSE POSITIVE,3.055171082,1.204,1.6798,8.67E+03,35.24,143.2
CONFIRMED,5.40426917,0.229,2.5315,8.61E+02,2.85,40.5
CANDIDATE,11.67894236,0.94,1.2641,1.19E+03,4.17,23.1
CONFIRMED,1.208462378,0.831,1.544,2.27E+02,1.64,17.4
CONFIRMED,2.85188338,0.578,2.666,1.15E+02,1.23,10.1
CONFIRMED,12.91385906,0.845,5.3685,4.88E+02,2.49,40.5
CONFIRMED,54.31996151,0.497,8.5858,1.98E+03,6.07,291.3
FALSE POSITIVE,252.0792347,1.283,3.9808,5.58E+03,41.07,104.1
FALSE POSITIVE,27.04627886,0.962,2.666,9.01E+02,3.54,48.8
FALSE POSITIVE,3.723560726,0.954,3.435,5.40E+02,3.46,58.9
CANDIDATE,18.3848331,0.711,3.545,1.52E+02,1.15,10.3
CONFIRMED,3.705991661,0.623,5.1658,5.01E+02,2.43,100.3
FALSE POSITIVE,5.188671659,0.884,5.0534,5.49E+02,5.2,331.6
FALSE POSITIVE,2.236100588,1.427,1.8643,2.72E+04,55.59,43
CONFIRMED,40.606895,0.494,5.756,6.58E+02,2.67,36.3
CONFIRMED,13.76710058,0.806,2.9105,6.85E+02,2.24,41.6
CANDIDATE,2.2165905,0.703,1,2.87E+01,0.48,2.8
CONFIRMED,6.1954595,0.647,2.952,2.96E+02,1.37,27.1
CONFIRMED,3.25058201,0.684,2.2537,2.18E+02,1.19,24
CONFIRMED,8.34819209,0.799,2.835,2.89E+02,1.45,22.1
FALSE POSITIVE,2.399069173,0.649,3.2576,2.87E+02,1.78,37.8
CANDIDATE,3.65849707,0.906,2.573,4.40E+03,14.61,47
FALSE POSITIVE,91.172033,0.005,6.676,3.69E+02,1.58,7.3
CONFIRMED,3.701765401,0.713,2.6061,2.88E+02,1.63,35.9
CONFIRMED,86.4943704,0.741,7.471,9.95E+02,3.07,42.6
FALSE POSITIVE,5.17968868,1.203,3.7256,1.22E+02,18.91,48.4
CONFIRMED,51.84688984,0.681,4.7769,9.64E+03,8.73,257.2
CONFIRMED,4.180048081,0.047,2.4479,1.77E+03,3.44,124.3
FALSE POSITIVE,68.832195,0.633,3.31,6.78E+02,2.35,8.2
CONFIRMED,1.729367077,0.278,1.7442,4.84E+02,1.82,44.7
FALSE POSITIVE,5.26640614,0.869,3.6163,5.93E+04,38.05,339.9
FALSE POSITIVE,44.18938922,1.03,6.8151,4.29E+03,14,102
CONFIRMED,29.00789166,0.761,5.0274,9.06E+02,2.64,44.1
FALSE POSITIVE,47.878243,1.076,4.066,9.10E+02,8.15,30.9
CANDIDATE,2.433703498,0.952,0.975,2.58E+02,1.66,10.2
CONFIRMED,13.69942266,0.03,4.3409,1.29E+03,3.85,120
CONFIRMED,4.309381978,0.034,2.8977,3.11E+02,1.89,42.3
CONFIRMED,4.9213639,0.026,1.8806,7.61E+02,2.14,77.7
CONFIRMED,87.0912594,0.845,7,1.13E+03,2.95,41.8
FALSE POSITIVE,1.583160478,0.897,1.1935,7.33E+02,3.27,97.7
CANDIDATE,7.9788198,0.05,2.874,8.38E+01,0.99,8.3
CONFIRMED,18.49234792,0.034,3.4744,1.66E+03,3.34,61.4
CONFIRMED,7.930583519,0.559,3.6083,8.26E+02,3.05,89.9
CONFIRMED,7.07136119,0.658,2.757,6.57E+01,0.63,22.4
FALSE POSITIVE,9.50150926,1.237,6.852,5.10E+02,25.77,34.8
CONFIRMED,15.65563866,0.304,3.9305,9.56E+02,2.55,53.2
CANDIDATE,10.52286678,1.12,1.911,1.30E+02,23.26,10.1
CANDIDATE,9.17858526,0.582,2.1945,7.97E+02,2.3,50.6
FALSE POSITIVE,4.33144839,0.291,2.58,2.16E+02,1.07,17.3
CONFIRMED,23.67513153,0.822,4.647,9.80E+02,2.76,32.6
CONFIRMED,29.19899219,0.043,5.1227,2.05E+03,4.15,171
CONFIRMED,160.0191598,0.852,5.472,1.55E+03,4.28,49.6
FALSE POSITIVE,7.05185637,,3.69,,,
CONFIRMED,10.85409593,0.422,3.7768,1.03E+03,2.99,252.8
CONFIRMED,55.3291399,0.209,6.918,3.26E+02,1.67,21.8
FALSE POSITIVE,17.17732821,0.267,7.6702,2.44E+04,15.29,1357.5
CONFIRMED,7.064252021,0.752,1.3867,7.29E+02,2.37,52.5
CANDIDATE,53.71798494,0.93,4.104,3.15E+03,155.12,103
FALSE POSITIVE,43.501748,0.909,10.755,1.67E+02,10.1,9.5
CONFIRMED,19.44639139,0.813,3.6227,9.26E+02,3.24,82.4
CONFIRMED,6.91986988,0.819,3.4253,1.70E+02,1.39,25.6
CANDIDATE,105.8817667,0.539,18.044,1.56E+03,10.16,301.8
CONFIRMED,16.6658994,0.429,4.1934,7.54E+02,2.85,60.8
CONFIRMED,4.16696628,0.022,2.7535,8.78E+02,2.74,80.1
FALSE POSITIVE,0.535224793,0.017,3.3402,2.29E+02,1.09,48.8
CONFIRMED,11.46347165,0.103,2.599,1.05E+03,3,56.5
CONFIRMED,39.6034,0.166,6.487,5.73E+02,2.22,25.8
CONFIRMED,2.940304817,0.825,2.7226,4.72E+02,2.59,51.8
CONFIRMED,5.378868001,0.758,2.7222,4.83E+02,1.86,60.6
CONFIRMED,15.28467725,0.774,6.0768,3.21E+02,2.7,38.1
FALSE POSITIVE,73.506021,0.473,5.734,4.86E+02,2.37,11.3
CONFIRMED,21.05349939,0.008,7.1605,4.97E+02,2.75,39.1
CONFIRMED,127.905412,0.47,14.475,4.02E+03,8.03,171
CONFIRMED,6.21716039,0.333,4.4289,2.11E+02,1.81,25
FALSE POSITIVE,21.05647572,0.938,1.238,1.29E+03,5.05,52.1
FALSE POSITIVE,31.80514278,1.289,7.6213,4.68E+03,34.82,161.3
CANDIDATE,4.57797412,0.343,2.862,1.25E+02,0.96,9.6
FALSE POSITIVE,37.60936976,0.671,6.8615,2.76E+04,15.8,971.1
FALSE POSITIVE,49.26678528,8.364,5.5692,8.49E+03,929.36,309
FALSE POSITIVE,3.613757526,0.812,5.9128,4.87E+03,7.05,591.2
CONFIRMED,7.381980206,0.096,3.1152,1.43E+03,3.42,101.6
CONFIRMED,17.58751692,0.106,4.3773,1.38E+03,4.03,109.4
CANDIDATE,3.01609637,0.7,1.57,1.96E+02,0.96,8.1
FALSE POSITIVE,11.34436822,1.183,5.558,5.86E+02,17.21,52.2
FALSE POSITIVE,1.576341127,0.01,3.1232,3.35E+02,2.96,88.7
CONFIRMED,18.47762694,0.712,1.94,2.60E+03,1.55,75.7
CONFIRMED,58.36205791,0.402,6.3363,5.37E+03,7.02,286.6
CONFIRMED,5.350156114,0.008,2.2647,7.65E+02,2.6,87.1
CANDIDATE,21.9424316,0.413,7.447,7.27E+01,1.23,10.7
CONFIRMED,6.38899658,0.876,3.5032,5.43E+02,2.89,45.8
CONFIRMED,14.62709685,0.945,4.097,3.96E+02,2.7,22.7
CONFIRMED,35.1184432,0.958,4.59,5.42E+02,3.26,20.4
CONFIRMED,8.00579096,0.092,3.0549,6.30E+02,2.36,69.2
CONFIRMED,4.26374378,0.368,2.2725,1.82E+02,1.28,23.8
CANDIDATE,330.025002,0.68,6.659,2.59E+02,5.92,12.2
CONFIRMED,84.6877524,0.017,10.0248,3.48E+02,3.37,95.1
FALSE POSITIVE,2.340523247,0.725,3.156,1.75E+02,1.4,37.2
CONFIRMED,25.85499978,0.265,3.8737,6.11E+02,2.4,31.7
CONFIRMED,10.68758211,0.818,3.3812,7.78E+02,2.64,78.9
CONFIRMED,20.30303506,0.793,4.5038,5.33E+02,2.16,44.7
FALSE POSITIVE,39.0930875,0.862,5.687,4.76E+02,2.99,10.1
CONFIRMED,12.56096618,0.022,3.7647,9.23E+02,2.74,55.1
CONFIRMED,30.8261043,0.943,5.914,7.42E+02,3.18,32.3
CONFIRMED,3.696121272,0.016,2.463,3.83E+02,1.78,130
