koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_model_snr
CONFIRMED,6.770300385,0.838,2.0844,1.30E+03,2.77,50.8
FALSE POSITIVE,0.444291966,1.258,2.0792,1.10E+04,27.51,299.7
CANDIDATE,10.181584,0.92,3.5089,5.74E+03,7.73,183.6
CONFIRMED,20.06036336,0.556,3.3203,1.49E+03,1.96,35.2
CONFIRMED,46.1842039,0.013,4.758,1.39E+03,1.83,26
CONFIRMED,23.9800854,0.95,5.351,1.04E+02,1.31,17.1
CONFIRMED,7.82502168,0.708,2.186,5.21E+02,1.2,15.9
CONFIRMED,3.895936525,0.524,2.3111,8.54E+03,7.34,370.8
CONFIRMED,22.36646466,0.4,5.228,9.87E+02,2.32,32.1
CONFIRMED,1.625522174,0.076,2.38963,7.97E+03,9.73,799.7
CANDIDATE,19.62034692,0.458,2.0038,2.17E+04,13.6,340.5
FALSE POSITIVE,7.544039,1.175,6.222,3.23E+02,17.47,14.2
CANDIDATE,9.02930689,0.024,3.1449,1.02E+03,2.57,53.9
FALSE POSITIVE,10.32803571,0.281,7.7915,1.69E+04,13.28,636.8
CONFIRMED,143.2063047,0.379,8.9302,1.06E+04,8.9,138.8
CONFIRMED,6.164876,0.646,3.262,5.58E+01,0.79,14.4
CONFIRMED,60.32494216,0.224,6.6188,2.03E+04,12.19,347.2
CONFIRMED,29.1598615,0.3619,4.803,4.88E+02,1.91,11.6
FALSE POSITIVE,1.540397253,1.225,2.1541,8.16E+02,25.69,38.8
FALSE POSITIVE,2.99025443,0.014,5.414,5.89E+02,1.7,48.5
CONFIRMED,1.594745374,0.514,1.9604,1.50E+04,11.3,1009.3
CANDIDATE,4.783002698,0.003,2.335,1.01E+03,2.5,70.6
CONFIRMED,20.50588921,0.26,4.0595,2.11E+03,3.41,78.5
CONFIRMED,3.340218842,0.466,1.9104,1.63E+03,2.03,71.6
FALSE POSITIVE,2.507089906,1.255,2.0067,1.34E+03,30.26,64.9
CONFIRMED,18.64932728,0.08,4.4056,8.94E+02,3.12,46.1
CONFIRMED,4.90144976,0.529,4.1654,1.41E+02,1.7,50.6
CONFIRMED,9.75192101,0.949,4.793,4.18E+02,2.76,28.5
CONFIRMED,38.5576546,0.911,5.794,9.93E+02,4.02,39.7
CONFIRMED,3.525632539,0.12,2.59959,2.23E+04,11.58,1996.7
CANDIDATE,34.84398644,0.934,2.9315,4.52E+03,7.61,76.8
CONFIRMED,7.748094239,0.517,3.5957,2.47E+03,5.52,113.2
CONFIRMED,23.96793669,0.416,3.827,1.18E+03,1.8,27.5
CONFIRMED,8.29561738,0.888,1.3421,8.24E+02,1.82,17.9
CONFIRMED,8.11437482,0.573,2.2736,1.56E+03,2.1,56.4
FALSE POSITIVE,38.03672948,0.501,4.34617,8.29E+04,27.5,1300
CANDIDATE,4.64090031,1.28,35.512,2.45E+03,30.09,296.9
FALSE POSITIVE,3.747838198,1.121,5.0642,6.16E+02,13.65,138.2
CONFIRMED,14.74914825,0.173,6.0995,4.30E+02,2.89,107.4
CONFIRMED,21.81295996,0.053,4.3791,1.18E+03,3.38,37.8
FALSE POSITIVE,7.91936937,0.733,3.3148,1.51E+04,10.34,389
CANDIDATE,1.028436523,1.5734,1.8606,8.10E+03,72.77,89.6
CONFIRMED,15.37562369,0.692,3.3169,1.53E+04,11.01,166
CONFIRMED,8.10363271,0.047,3.161,8.88E+02,2.11,39.3
CONFIRMED,4.71510843,0.258,2.506,4.18E+02,1.46,21.3
CONFIRMED,6.365839713,0.524,2.9721,7.81E+02,2.44,70.8
FALSE POSITIVE,5.97581754,0.941,3.065,9.62E+02,3.86,50.3
FALSE POSITIVE,2.446737317,1.241,4.7211,1.18E+03,26.25,110.2
CONFIRMED,3.04033046,0.736,1.8411,1.09E+04,8.99,568.2
CONFIRMED,15.33528675,0.773,3.897,3.08E+03,5,86.6
CONFIRMED,7.95825328,0.706,4.377,5.00E+01,1.06,14.7
CONFIRMED,31.33046135,0.798,5.176,5.07E+03,6.5,117.2
FALSE POSITIVE,3.9043425,0.709,3.831,1.62E+04,12.28,323.4
FALSE POSITIVE,9.286358079,0.377,3.49949,4.48E+04,17.61,1671.1
FALSE POSITIVE,3.951405455,1.276,2.1862,2.45E+03,31.44,117.2
CONFIRMED,23.65369415,0.008,8.2183,3.34E+03,7.89,266.3
CONFIRMED,13.23352214,0.014,6.7372,5.05E+02,3.06,49.1
CONFIRMED,6.15560285,0.235,4.9843,2.85E+02,2.32,35.1
CONFIRMED,2.090811305,0.746,3.388,1.16E+02,1.62,19.9
CONFIRMED,3.180027898,0.196,3.5797,1.20E+02,1.53,50.4
CONFIRMED,50.4467417,0.379,7.159,3.70E+02,2.67,19.4
CONFIRMED,11.76307164,0.048,2.9076,1.04E+03,2.35,48.9
CONFIRMED,56.2279271,0.7,3.57,8.63E+02,2.37,20.9
FALSE POSITIVE,2.384052875,1.178,3.0918,1.27E+03,17.06,50.5
CONFIRMED,7.953547,0.3,2.6312,8.75E+02,2.25,38.4
CONFIRMED,4.14451656,0.004,2.3421,3.92E+02,1.48,22.8
FALSE POSITIVE,4.859386384,1.259,2.2757,6.04E+03,38.33,269.7
CONFIRMED,10.52629458,0.644,2.5211,9.77E+03,8.24,482.3
CONFIRMED,4.583520948,0.045,2.7055,3.81E+03,5.39,99.5
CONFIRMED,3.76181843,0.926,3.5176,5.11E+02,2.66,35.9
CONFIRMED,8.20396958,0.823,2.9667,1.02E+03,3.01,54.4
CONFIRMED,14.49645186,0.97,4.016,6.48E+02,3.01,25.7
CANDIDATE,6.54626149,0.644,2.75,6.56E+02,2.19,24.8
CONFIRMED,12.71809866,0.427,3.0957,1.15E+03,2.31,52.7
CONFIRMED,36.06588163,0.26,4.3246,1.56E+03,2.64,51.7
CONFIRMED,4.190425659,0.458,2.8589,2.88E+03,6.21,240.6
CONFIRMED,3.709870784,0.023,3.0694,2.02E+03,4.35,116.1
CONFIRMED,16.3297527,0.791,6.271,1.19E+03,3.75,74.6
CONFIRMED,27.80756622,0.782,4.21587,2.54E+04,13.84,748.1
CONFIRMED,80.8723469,0.527,11.195,3.60E+03,7.59,160.9
FALSE POSITIVE,3.166465862,1.266,2.9381,4.36E+03,26.82,122.1
CONFIRMED,24.99324319,0.686,5.9409,2.70E+02,2.29,62
CONFIRMED,10.35533116,0.029,3.1775,7.51E+02,2.47,49.2
